bot_code,bot_type,sov_code,sov_name,wgsrpd_code,wgsrpd_name,wgsrpd_area,sov_intersection_area,bot_area_total,sov_area_total,proportion_total_sov,proportion_total_bot,bot_name
USA,incomplete_sov,USA,United States of America,NWJ,New Jersey,19835.6379809019,19435.3291007052,9448913.931608755,9449399.34709206,0.0020567793133524606,0.002056884975498573,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,NWH,New Hampshire,24201.1055191534,24169.5355072581,9448913.931608755,9449399.34709206,0.0025577853807920593,0.0025579167809334715,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MIN,Minnesota,225023.303188084,224476.357409408,9448913.931608755,9449399.34709206,0.023755621829919582,0.023756842218499184,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,UTA,Utah,219981.870023496,219981.870023496,9448913.931608755,9449399.34709206,0.023279984467075444,0.02328118042091662,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,CNT,Connecticut,12844.3761451306,12770.379237625,9448913.931608755,9449399.34709206,0.0013514487819328888,0.0013515182094002564,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MAI,Maine,84028.4602513565,83067.5676993376,9448913.931608755,9449399.34709206,0.00879077755613119,0.008791229161423282,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,COL,Colorado,271035.887962705,271035.887962705,9448913.931608755,9449399.34709206,0.028682869461550808,0.028684342975760273,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,ALA,Alabama,134428.506999896,134288.872100074,9448913.931608755,9449399.34709206,0.014211365946915957,0.01421209602204623,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,OHI,Ohio,116427.967455593,116264.162430665,9448913.931608755,9449399.34709206,0.012303868019552366,0.012304500101512733,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MSO,Missouri,180418.439034997,180418.439034997,9448913.931608755,9449399.34709206,0.019093111890812257,0.01909409275403139,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,OKL,Oklahoma,181143.235650391,181143.235650391,9448913.931608755,9449399.34709206,0.019169814820678064,0.019170799624327817,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,TEX,Texas,684967.629132583,683324.549353068,9448913.931608755,9449399.34709206,0.07231407248793575,0.07231778745144378,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,CAL,California,407758.674774725,407088.440571425,9448913.931608755,9449399.34709206,0.04308088012987848,0.04308309330764693,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,NEV,Nevada,286607.863881748,286607.863881748,9448913.931608755,9449399.34709206,0.030330802345648365,0.030332360518490895,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,LOU,Louisiana,119140.136897579,118198.39181353,9448913.931608755,9449399.34709206,0.012508561388074274,0.01250920398566968,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,IOW,Iowa,145268.772166871,145268.772166871,9448913.931608755,9449399.34709206,0.015373333989908653,0.015374123758383923,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,NWM,New Mexico,315094.922203088,315063.085205358,9448913.931608755,9449399.34709206,0.033342128280599646,0.03334384115315102,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MRY,Maryland,25932.5851462011,25125.887507128,9448913.931608755,9449399.34709206,0.0026589930834979678,0.0026591296829444307,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,KTY,Kentucky,104139.613923585,104139.613923585,9448913.931608755,9449399.34709206,0.011020765458032284,0.011021331623649828,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,NEB,Nebraska,200155.87047748,200155.87047748,9448913.931608755,9449399.34709206,0.021181861738024183,0.021182949905799577,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,PUE,Puerto Rico,9245.9555481437,8865.030418128,9448913.931608755,9449399.34709206,9.381580873556908e-4,9.382062829964477e-4,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,NDA,North Dakota,182559.181951088,182159.587144512,9448913.931608755,9449399.34709206,0.019277372079799914,0.019278362408948077,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,PEN,Pennsylvania,118993.298987772,118971.232608413,9448913.931608755,9449399.34709206,0.01259034868126565,0.012590995480488748,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,GEO,Georgia,152468.396653908,151927.726153227,9448913.931608755,9449399.34709206,0.016078029996687667,0.01607885596724449,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,WAS,Washington,174446.014492181,172712.982818985,9448913.931608755,9449399.34709206,0.018277667868078343,0.01827860683979997,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,WYO,Wyoming,253507.813624544,253507.813624544,9448913.931608755,9449399.34709206,0.026827928878099327,0.02682930709914745,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,SDA,South Dakota,198703.109166076,198703.109166076,9448913.931608755,9449399.34709206,0.02102812061035652,0.021029200880047085,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,ALU,Aleutian Is.,12624.0469048593,10878.5088287606,9448913.931608755,9449399.34709206,0.0011512381294487603,0.0011512972715699659,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MNT,Montana,381003.238806321,380313.08183362,9448913.931608755,9449399.34709206,0.04024732873107504,0.040249396341878685,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,ORE,Oregon,251328.526944673,251164.976421815,9448913.931608755,9449399.34709206,0.026579993838349948,0.026581359322325006,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MRN,Marianas,1192.5899059444,1069.2423804601,9448913.931608755,9449399.34709206,1.1315453408042773e-4,1.1316034712552968e-4,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,NCA,North Carolina,128224.781766061,127291.488252554,9448913.931608755,9449399.34709206,0.013470854979975678,0.013471547013115991,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,KAN,Kansas,211979.736486259,211979.736486259,9448913.931608755,9449399.34709206,0.022433144023222305,0.0224342964726495,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,TEN,Tennessee,108939.206461966,108939.206461966,9448913.931608755,9449399.34709206,0.01152869113267932,0.011529283391770529,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,RHO,Rhode I.,2727.3632859157,2649.529678761,9448913.931608755,9449399.34709206,2.803913329767739e-4,2.804057374147227e-4,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,HAW,Hawaii,16871.4866987905,16237.9196707419,9448913.931608755,9449399.34709206,0.00171840760182698,0.0017184958809310755,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MIC,Michigan,250782.277303733,249939.775757011,9448913.931608755,9449399.34709206,0.02645033473306713,0.026451693556113987,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,IDA,Idaho,216274.121786762,216210.734849102,9448913.931608755,9449399.34709206,0.022880897177410358,0.02288207262909107,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,ARI,Arizona,294313.073998576,294313.073998576,9448913.931608755,9449399.34709206,0.03114622032448521,0.031147820387487302,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
